station_name,date,value,quality
Sutton Top Field Spinney,2024-03-15T12:41:00,17.26,Good
Sutton Heath Road,2024-03-15T12:41:00,18.85,Good
Upavaon Shallow,2024-03-18T10:13:00,91.09,Good
Upavon Deep,2024-03-18T10:16:00,91.47,Good
Frome,2024-03-18T10:47:00,56.82,Good
Amotherby,2024-03-19T10:42:00,20.2,Good
Hungerdowns Farm,2024-03-19T11:27:00,34.71,Good
Slough Farm,2024-03-19T11:51:00,3.22,Good
Wrelton Paddock,2024-03-19T12:01:00,33.38,Good
Itteringham 2,2024-03-20T10:09:00,30.83,Good
Old Hall,2024-03-21T09:22:00,40.03,Good
Pipe Green,2024-03-21T11:15:00,81.84,Good
Ingleby,2024-03-21T11:31:00,45.64,Good
Hornsea,2024-03-21T12:13:00,17.56,Good
Cundall Sandstone,2024-03-21T14:35:00,16.875,Good
Lydeards Hill,2024-03-22T08:00:00,325.86,Good
Black Hall Farm,2024-03-22T08:10:00,106.69,Good
West Cowick,2024-03-22T10:21:00,5.841,Good
Kemps Drift,2024-03-22T11:20:00,11.545,Good
Whitworth Hall,2024-03-22T11:47:00,56.08,Good
Sherburn Quarry 3,2024-03-22T12:30:00,17.368,Good
Winchester Guildhall,2024-03-22T13:46:00,33.45,Good
Myddlewood,2024-03-27T10:10:00,61.61,Good
Crudwell,2024-03-28T12:51:00,93.01,Good
Walcot,2024-04-02T08:19:00,17.76,Good
Trowley Bottom Farm,2024-04-02T10:47:00,110.18,Good
Wested Farm,2024-04-03T08:55:00,44.65,Good
Plucks Gutter,2024-04-03T09:37:00,1.61,Good
Grange Farm West Wratting,2024-04-03T09:41:00,67.56,Good
Tollgate,2024-04-03T09:50:00,12.13,Good
Old Mill Farm T,2024-04-03T14:07:00,13.26,Good
Old Mill Farm B,2024-04-03T14:10:00,13.257,Good
Lynstead,2024-04-04T06:01:00,16.913,Good
Croxton Heath,2024-04-04T08:54:00,32.44,Good
Main Road Croxton,2024-04-04T09:20:00,16.71,Good
Mill Road,2024-04-04T13:24:00,19.03,Good
Spoondell,2024-04-04T13:43:00,135.1,Good
Rats Pen Lane Chalk,2024-04-05T10:11:00,8.2,Good
Hyde Cottages Risby,2024-04-05T12:43:00,31.19,Good
East Leake,2024-04-08T07:51:00,28.8,Good
Pickworth,2024-04-10T08:44:00,30.34,Good
Ponyfield,2024-04-10T09:07:00,-2.95,Good
Chalton,2024-04-11T09:00:00,54.76,Good
Warnford Estate,2024-04-11T10:12:00,67.91,Good
Sproxton,2024-04-11T12:10:00,48.91,Good
Blackmore Farm,2024-04-15T08:20:00,117.7,Good
North Stoke,2024-04-15T11:12:00,7.948,Good
North Plantation,2024-04-15T13:31:00,65.9,Good
Sutton Heath Road,2024-04-15T15:43:00,18.76,Good
Sutton Top Field Spinney,2024-04-15T15:44:00,17.51,Good
Caldecote Farm,2024-04-16T09:02:00,7.565,Good
Cockley Cley Copse,2024-04-16T09:22:00,22.03,Good
Wrelton Paddock,2024-04-16T10:01:00,32.87,Good
Wood Mill Farm,2024-04-16T11:28:00,60.5,Unchecked
Wood Mill Farm,2024-04-16T11:39:00,63.9,Unchecked
Whitworth Hall,2024-04-16T12:54:00,56.1,Good
Old Hall,2024-04-17T10:42:00,39.5,Good
Itteringham 2,2024-04-17T11:36:00,31.05,Good
Lydeards Hill,2024-04-18T08:10:00,326.39,Good
Thames Head,2024-04-18T10:15:00,101.06,Good
Frome,2024-04-19T10:42:00,55.93,Good
Upavon Deep,2024-04-19T10:58:00,91.47,Good
Upavaon Shallow,2024-04-19T10:59:00,90.92,Good
Hungerdowns Farm,2024-04-19T12:44:00,34.35,Good
Slough Farm,2024-04-19T13:18:00,3.37,Good
